DXCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
64,0,5384.993498,175.6197397,52310.55433,2318.994721,14416.07873,564.3773426,5.175650694,0.161008752,31957,9202.04,4
64,1,1089.99993,83.58944187,56255.52825,4945.930019,16206.83043,1349.136996,5.903669354,0.432458899,33110,10155.186,4
64,2,1274.998659,88.29969983,42398.73777,2665.742761,13328.89808,713.3374518,4.665352764,0.247603426,28820,9769.344,3
64,3,1979.998088,105.7023939,45639.71088,2404.678245,11803.2777,589.0548042,5.070709294,0.227456963,30776,8613.563,4
64,4,1039.996821,69.89467148,74432.44467,9306.591057,19168.25223,2138.110939,5.235575081,0.458745473,36600,9763.872,3
650,0,36079.96335,1897.681648,9806.666095,300.8694437,3173.556349,107.0788058,3.43555989,0.089282808,6995,2329.628,3
650,1,8984.988057,898.9145975,11677.35412,689.4299455,4133.89672,178.7277734,4.250417804,0.153674857,8213,3270.147,3
650,2,9894.995924,830.1999007,8469.056667,366.4672303,3028.864785,156.6844893,3.152096015,0.099107201,6487,2240.136,3
650,3,13044.99814,1363.352112,9010.949702,580.5813191,2547.121118,206.6649647,3.214640459,0.191895468,6343,1900.618,2
650,4,4154.981237,495.1639399,11443.6888,695.2426699,3406.973964,207.1166451,3.042123416,0.16898077,8508,2613.92,2
651,0,39769.87748,1426.008448,19879.63725,1981.296735,6514.583293,918.2902522,4.702022507,0.154335717,11834,3712.839,3
651,1,9614.991753,696.7692329,18630.43028,957.5345589,6406.994594,378.7301944,5.619343555,0.216290012,12629,4810.8,4
651,2,10189.98483,715.7695306,13344.74409,582.4160304,4512.023157,185.4598463,4.387630347,0.271734592,9962,3330.925,3
651,3,14039.99374,940.3760563,16147.92239,1076.865523,4174.042637,217.5941174,4.444807602,0.349348306,11526,3157.83,3
651,4,5924.90716,389.0752905,0,0,0,0,4.363605845,0.227436695,0,0,3
652,0,11789.97268,1017.637098,22319.24892,1676.496963,6780.37361,597.5643593,7.655498484,0.496276625,13262,3970.791,5
652,1,3239.998173,445.1703078,29963.91226,3692.410143,8029.184494,830.1734269,9.287044885,0.670395723,18708,5643.988,7
652,2,3114.998601,482.2103098,17070.10398,1607.962097,5462.548175,435.1172202,6.550555648,0.359449014,12347,4052.845,5
652,3,4529.999493,745.6396484,15966.93674,1290.280026,4491.625695,488.7527432,7.324858129,1.141962426,11661,3016.67,5
652,4,904.9764134,221.1411136,44972.47339,12311.16391,0,0,7.270776272,0.852059613,16968,0,5
653,0,115274.9869,3365.040335,30659.43781,991.4091536,9367.334781,387.4051102,9.7923588,0.158691384,20688,6581.256,7
653,1,24950.04896,1503.893039,36360.25629,1870.607607,11640.4449,367.947877,10.65938105,0.325243174,22408,8242.96,7
653,2,29285.07022,1670.719763,23671.8766,1037.408922,8141.141863,261.1964674,8.860689208,0.254742804,18204,6346.626,7
653,3,46629.95287,2287.304773,25628.71251,744.1458049,7174.690972,173.4038119,9.240160427,0.234136766,19391,5607.116,7
653,4,14409.91484,1019.183267,52048.08625,6539.735308,15276.50253,2983.778331,11.98839674,0.622011612,31166,8136.16,6
654,0,1899.998549,106.2694314,24017.92225,1844.552571,7320.743704,680.8661405,5.750006319,0.735115594,14511,4561.562,3
654,1,394.9994836,46.48366858,32035.13363,6262.718604,10038.54829,2357.13823,0,0,17893,5338.084,
