RegionType,RegionID,CatID,CatVal,Year,Population
2,1065,1,1,2012,2797
2,1065,1,2,2012,3455
2,1065,1,3,2012,3634
2,1065,1,4,2012,2752
2,1065,2,1,2012,5720
2,1065,2,2,2012,6918
2,1065,4,1,2012,11082
2,1065,4,2,2012,1110
2,1065,4,3,2012,25
2,1065,4,4,2012,2
2,1065,4,5,2012,181
2,1065,4,6,2012,238
2,1066,0,0,2012,23419
2,1066,1,1,2012,5103
2,1066,1,2,2012,7138
2,1066,1,3,2012,6966
2,1066,1,4,2012,4212
2,1066,2,1,2012,11194
2,1066,2,2,2012,12225
2,1066,4,1,2012,17102
2,1066,4,2,2012,5133
2,1066,4,3,2012,460
2,1066,4,4,2012,99
2,1066,4,5,2012,93
2,1066,4,6,2012,532
2,1068,0,0,2012,73007
2,1068,1,1,2012,19621
2,1068,1,2,2012,27944
2,1068,1,3,2012,17661
2,1068,1,4,2012,7781
2,1068,2,1,2012,35778
2,1068,2,2,2012,37229
2,1068,4,1,2012,44520
2,1068,4,2,2012,23694
2,1068,4,3,2012,2811
2,1068,4,4,2012,571
2,1068,4,5,2012,124
2,1068,4,6,2012,1287
2,1070,0,0,2012,46045
2,1070,1,1,2012,12688
2,1070,1,2,2012,16483
2,1070,1,3,2012,11202
2,1070,1,4,2012,5672
2,1070,2,1,2012,22186
2,1070,2,2,2012,23859
2,1070,4,1,2012,35068
2,1070,4,2,2012,8250
2,1070,4,3,2012,1327
2,1070,4,4,2012,449
2,1070,4,5,2012,120
2,1070,4,6,2012,831
2,1071,0,0,2012,6166
2,1071,1,1,2012,1374
2,1071,1,2,2012,1961
2,1071,1,3,2012,1690
2,1071,1,4,2012,1141
2,1071,2,1,2012,3008
2,1071,2,2,2012,3158
2,1071,4,1,2012,6006
2,1071,4,2,2012,38
2,1071,4,3,2012,70
2,1071,4,4,2012,19
2,1071,4,5,2012,0
2,1071,4,6,2012,33
2,1072,0,0,2012,13193
2,1072,1,1,2012,3102
2,1072,1,2,2012,4306
2,1072,1,3,2012,3616
2,1072,1,4,2012,2169
2,1072,2,1,2012,6466
2,1072,2,2,2012,6727
2,1072,4,1,2012,8939
2,1072,4,2,2012,3800
2,1072,4,3,2012,274
2,1072,4,4,2012,16
2,1072,4,5,2012,0
2,1072,4,6,2012,164
2,1073,0,0,2012,29264
2,1073,1,1,2012,7344
2,1073,1,2,2012,10262
2,1073,1,3,2012,7514
2,1073,1,4,2012,4144
2,1073,2,1,2012,14492
2,1073,2,2,2012,14772
2,1073,4,1,2012,22944
2,1073,4,2,2012,1255
2,1073,4,3,2012,4547
2,1073,4,4,2012,55
2,1073,4,5,2012,223
2,1073,4,6,2012,240
2,1074,0,0,2012,34207
2,1074,1,1,2012,7328
2,1074,1,2,2012,10345
2,1074,1,3,2012,10386
2,1074,1,4,2012,6148
2,1074,2,1,2012,16713
2,1074,2,2,2012,17494
2,1074,4,1,2012,30929
2,1074,4,2,2012,852
2,1074,4,3,2012,782
2,1074,4,4,2012,179
2,1074,4,5,2012,847
2,1074,4,6,2012,618
