MDCID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
4 ,3,1470297.938,20960.46472,34332.19809,572.2845625,9561.453131,133.6632865,5.126769993,0.027593622,20264,6068.391,4
4 ,4,585866.739,10331.8078,53138.71086,1379.041423,13580.70913,265.9113717,4.939565209,0.052733922,29224,8008.836,3
5 ,0,4796175.42,58214.49289,52922.21975,762.5110553,14411.8936,164.3081366,4.353150191,0.024733781,28894,8213.4,3
5 ,1,983273.5702,26106.26314,53161.21972,2097.256103,14155.68343,392.2591143,4.594643532,0.059079764,28212,8146.45,3
5 ,2,1097833.405,27201.33416,44981.34961,1165.534472,14570.70506,316.6023461,4.196647691,0.056650746,25339,8527.569,3
5 ,3,1923616.946,39685.67755,49445.93962,999.7159264,13115.51115,233.1025216,4.424682551,0.037539051,27628,7496.28,3
5 ,4,791451.4989,19812.23421,72806.37365,2329.677505,17873.02271,473.0116467,4.096424595,0.049593152,39419,9949.432,3
6 ,0,3242725.478,29414.05656,38236.02863,419.2734752,10803.43485,85.21209334,4.723307947,0.017321899,23699,7016.625,3
6 ,1,652448.961,13879.49502,39011.29639,1242.703647,10897.16781,209.1711788,4.89651096,0.042378098,23042,7063.263,3
6 ,2,726413.5892,14331.22877,31657.54235,547.3549089,10762.94413,172.5245197,4.645558724,0.040131801,20370,7090.275,3
6 ,3,1234801.469,18136.73787,36283.9145,536.3201774,9811.348232,115.3093481,4.853106261,0.026423922,23172,6454.134,3
6 ,4,629061.4593,11756.74115,49396.28066,1200.09722,12835.74517,232.9115232,4.378861786,0.033550926,30814,8204.284,3
7 ,0,1070800.446,11199.87235,44240.62665,713.4102597,12279.65441,162.7209955,4.873234822,0.029190076,27941,8261.173,3
7 ,1,199999.7169,5003.040926,45723.02779,1878.72611,12489.18423,328.859805,5.191051261,0.060997197,27162,8322.942,4
7 ,2,221074.6968,5366.816808,36583.42198,1088.502612,12226.96229,343.5913335,4.721116258,0.065373484,23910,8296.17,3
7 ,3,417015.4529,6763.697427,40834.60803,869.6294359,10992.39449,215.1531874,4.944403728,0.042960228,27061,7649.268,4
7 ,4,232710.5797,5084.918549,56977.98717,2169.228133,14608.67676,484.5417891,4.617117825,0.073585322,35940,9500.023,3
8 ,0,3251134.065,42173.97213,55915.35452,627.1308354,16222.03049,140.1929596,3.92820606,0.017999965,42527,13177.346,3
8 ,1,600584.0181,23215.77604,51923.40949,1707.891244,15323.09049,390.0593589,4.221687481,0.039386674,37953,12305.92,3
