PRCCSID,Region,Discharges,DischargesStdErr,MeanCharges,MeanChargesStdErr,MeanCost,MeanCostStdErr,MeanLOS,MeanLOSStdErr,MedianCharges,MedianCost,MedianLOS
217 ,2,10465.00289,2015.174618,19668.85848,1250.937019,7035.630032,364.504574,4.113715965,0.189008085,14380,5345.621,3
217 ,3,18615.07855,2495.391934,19568.86198,1062.166211,6676.548472,269.7817847,4.532358749,0.187874488,14140,5058.088,3
217 ,4,10455.04584,1962.89452,39131.38426,2665.096574,10358.22537,451.0893087,4.510517889,0.162769766,24957,6896.216,3
218 ,0,132560.1709,12504.87207,32913.07617,2046.132666,10414.71233,589.1878796,12.461518,0.537403122,18856,5989.444,7
218 ,1,66704.99785,8603.985267,40847.23154,3071.34154,13273.60366,715.1839047,15.42934267,0.632381757,24244,8230.2,9
218 ,2,12139.98429,2228.689207,31261.02245,3180.343228,10468.75928,1172.771131,12.29943777,0.807047274,19839,6603.212,9
218 ,3,29370.11007,6032.32997,21119.42186,1870.713068,6928.834826,964.9225577,9.575240007,0.624242605,12423,3836.586,6
218 ,4,24345.07865,6402.124851,25553.64268,3055.870118,6394.22294,829.8501506,7.895033366,0.612275779,16001,3928.898,6
219 ,0,286585.1599,15881.11015,15825.20833,442.498326,5079.188701,120.8285122,5.2301584,0.150481435,10782,3612.036,4
219 ,1,111499.8883,12246.71594,16952.77491,879.4641587,5603.452169,242.7310252,5.810625065,0.263314277,11334,3952.417,4
219 ,2,67774.94074,5996.4233,13408.24794,627.9786497,4528.824168,203.7600317,4.143044627,0.169452885,9305,3128.97,3
219 ,3,73015.27312,7133.240928,13740.25455,719.9563856,4254.268733,153.5564485,4.733208368,0.129804014,10059,3246.723,4
219 ,4,34295.05769,3922.676358,21618.43024,1252.428527,6267.929597,379.7342241,6.549358559,0.712379043,15004,4406.376,4
220 ,0,187655.187,16641.51282,7236.701625,390.8385018,2010.029705,95.87518884,2.552129799,0.033476906,3535,1075.68,2
220 ,1,69264.99967,11973.0114,8684.802225,686.529949,2495.553746,131.6661564,2.687937353,0.053003202,5007,1551.05,2
220 ,2,4674.9673,1120.950053,10416.2757,2499.698322,0,0,3.161507337,0.390374185,3303,0,2
220 ,3,68585.06294,9231.216582,4861.717559,376.560693,1298.873995,80.86096608,2.537435031,0.049935705,2537,682.272,2
220 ,4,45130.15711,6864.040948,8323.227424,964.2097491,2038.984547,220.876348,2.302902023,0.072436176,3885,1015.692,2
221 ,0,49790.01692,1356.943816,26609.2436,575.8213842,8246.456835,145.4437153,4.638481413,0.05377611,17297,5893.304,4
221 ,1,13524.97199,655.93911,25785.30287,1026.19806,8115.501298,195.8385368,4.594087891,0.086019185,16679,6036.74,4
221 ,2,9744.980209,626.8487026,22823.53111,808.1271525,8250.991239,284.7405479,4.760905499,0.120726826,15729,5819.996,4
221 ,3,16650.03306,838.4643616,22936.03799,659.5010017,6797.74749,129.4020669,4.541139446,0.074725802,16539,5210.917,4
221 ,4,9870.031663,561.3186457,39194.03569,2330.821995,11246.90639,625.8022858,4.742650057,0.172790541,23222,7199.64,3
222 ,0,794315.2517,12050.11628,40079.84777,622.9675747,10815.93391,116.5914124,5.235224154,0.026150773,25415,7648.512,4
222 ,1,137044.7617,4545.115384,38638.23015,1239.749872,10828.95461,212.4876186,5.434893784,0.063000186,24546,8047.377,4
222 ,2,136134.6829,4778.575337,28028.45037,513.2611191,9911.572575,177.6814761,4.945753616,0.048371665,20254,7408.405,4
222 ,3,333875.4644,8180.093897,33037.56922,551.9853703,8967.435687,99.45420486,5.302451979,0.041953898,22522,6639.165,4
222 ,4,187260.3427,5899.026198,64874.78483,1907.914041,15230.03826,373.894268,5.179673897,0.056326484,43255,10628.192,4
223 ,0,115060.001,3618.813902,69478.03826,1857.691722,20285.37384,460.5476826,11.18988696,0.157530138,40899,12600.576,8
223 ,1,29859.98147,1958.529228,63925.54376,2808.846401,18453.21572,634.2283248,10.01356347,0.236804672,38666,11765.156,7
223 ,2,23484.99835,1687.119203,55688.34994,2809.898516,18783.17041,1163.3418,10.95891115,0.472657096,36397,12067.548,7
223 ,3,33635.00416,1805.388922,53506.84058,1853.116633,16417.79724,510.0337433,11.16812608,0.210748507,34570,11013.51,8
223 ,4,28080.01701,1776.00027,109897.7001,5882.968619,28987.53677,1211.720734,12.66238084,0.329440341,63823,17824.612,9
224 ,0,156170.0221,8372.236979,51095.13614,1702.346828,15240.85763,470.2828546,5.726067909,0.092000624,29428,9150.807,4
224 ,1,32664.97964,2916.802115,56173.0458,3131.702759,15146.28538,591.3258458,5.883822338,0.203396965,32136,8868.695,4
224 ,2,33025.03399,2884.407614,44342.79192,2091.883717,15023.818,680.690143,5.56336039,0.168908203,26052,8971.493,4
224 ,3,62424.96687,6952.130235,42849.8877,1649.237131,13368.91977,847.0300016,5.468161328,0.115949407,26587,8538.775,4
224 ,4,28055.04162,2221.417422,72494.60715,7051.699953,20030.88219,1680.003453,6.307788166,0.287502013,38365,11436.98,4
225 ,0,85550.01792,1608.523596,30736.7044,570.6801162,8437.816451,126.5109709,3.757847295,0.036211332,18635,5639.598,3
225 ,1,16074.98178,665.5812725,30818.22568,1294.375694,8253.00231,203.3194246,3.776050506,0.066606039,19608,6032.572,3
225 ,2,23309.98594,923.6756758,22964.36188,671.5676422,7649.620321,226.7842975,3.536368351,0.056408415,16412,5497.514,3
225 ,3,32430.02553,1032.694456,26458.80329,659.0695864,7082.004729,140.7633533,3.826239967,0.057496872,17401,5042.405,3
225 ,4,13735.02467,474.04128,54767.30161,2453.361755,13414.53217,534.5612605,3.950855411,0.131507901,27904,7520.494,2
226 ,0,74705.0436,4049.63592,36747.75734,1230.092679,9353.882983,296.679258,3.718023711,0.089215311,24108,6412.952,3
226 ,1,0,0,30173.58095,1528.455489,8552.817346,450.5115449,4.272067359,0.143878387,21083,6416.979,3
226 ,2,6199.999146,332.7030038,29288.0228,840.0386632,9861.307214,293.7177232,4.68306776,0.145330586,22707,7579.644,4
226 ,3,11070.00377,541.2965262,35833.13247,1306.463239,9752.598549,819.0919897,5.636856108,0.455519477,25133,6746.337,4
226 ,4,47070.04119,2475.636359,39427.10716,1791.712779,9373.795277,402.6866728,3.017633071,0.064692759,24840,6035.568,2
