PRCCSID,Region,Discharges,MeanLOS,MedianLOS,MeanCharges,MedianCharges,MeanCost,MedianCost,DischargesStdErr,MeanLOSStdErr,MeanChargesStdErr,MeanCostStdErr
130,0,5490,6.2,4.0,54240,33607,13706,9128,221,0.346,2667,626
130,1,1080,8.3,4.0,64139,38897,15392,9923,88,1.415,6642,1276
130,2,1090,5.3,4.0,39598,30450,11986,8664,90,0.320,2476,700
130,3,2085,6.0,4.0,45592,30026,11685,8607,154,0.281,2140,443
130,4,1235,5.6,3.0,74755,39711,17478,9680,96,0.734,9981,2530
131,0,5065,4.1,2.0,33707,21587,9064,5962,273,0.278,2110,768
131,1,775,4.5,2.0,33017,19194,10455,5476,67,1.070,6229,2942
131,2,795,4.1,3.0,25214,20004,7932,6056,70,0.472,1745,596
131,3,1520,3.8,2.0,28382,19168,6901,5057,106,0.384,2522,419
131,4,1975,4.1,2.0,43587,28883,11072,7028,233,0.455,4688,1650
132,0,27175,3.7,2.0,45089,30698,11959,8289,644,0.081,1062,284
132,1,4300,3.9,2.0,46310,29778,12488,7838,244,0.259,3112,1080
132,2,6160,3.7,2.0,38604,28813,11936,8814,315,0.174,1752,502
132,3,10810,3.9,2.0,42083,28982,10870,7511,422,0.117,1391,369
132,4,5905,3.3,2.0,57129,38604,13714,9842,278,0.156,2931,578
133,0,122130,2.3,2.0,14471,12585,3575,3221,4012,0.015,279,45
133,1,20360,2.5,2.0,17678,16009,4369,4133,1887,0.024,878,106
133,2,25670,2.3,2.0,11394,10349,3571,3275,1379,0.040,259,63
133,3,48210,2.2,2.0,12943,11613,3061,2782,2547,0.024,264,56
133,4,27890,2.1,2.0,17678,15600,3900,3457,2036,0.027,718,111
134,0,1142690,3.4,3.0,22727,19085,6150,5253,21935,0.020,276,54
134,1,197825,3.8,3.0,26529,22742,7083,6118,8141,0.035,832,152
134,2,241750,3.5,3.0,19995,17429,6445,5595,7869,0.053,361,89
134,3,515770,3.3,3.0,20980,17858,5300,4603,17134,0.031,418,76
134,4,187345,3.4,3.0,27227,22876,7182,5991,7706,0.042,630,145
135,0,112545,2.5,2.0,15385,12704,4198,3619,2665,0.019,262,52
135,1,16700,2.6,2.0,17846,15831,4737,4249,1074,0.030,735,146
135,2,26445,2.5,2.0,12432,11181,4152,3715,1272,0.041,287,68
135,3,44225,2.4,2.0,13250,11609,3476,3091,1658,0.021,255,62
135,4,25175,2.5,2.0,20787,16223,5198,4285,1257,0.058,817,146
136,0,111350,2.3,2.0,16350,12394,4070,3352,4305,0.029,761,98
136,1,10285,2.3,2.0,14107,12445,4192,3859,920,0.026,654,175
136,2,25585,2.3,2.0,10810,9292,3569,3200,1881,0.101,460,73
136,3,26345,2.2,2.0,12335,10962,3022,2666,1676,0.027,357,68
136,4,49135,2.3,2.0,22273,17076,4931,3935,3367,0.037,1517,190
137,0,1442235,2.3,2.0,13226,10945,3649,3141,28530,0.015,173,36
137,1,232450,2.4,2.0,16070,13976,4197,3685,12099,0.016,589,111
137,2,312859,2.3,2.0,11455,10063,3695,3298,12153,0.060,230,52
137,3,608245,2.3,2.0,12027,10359,3198,2801,19859,0.014,230,51
137,4,288680,2.1,2.0,15519,12110,4147,3352,11201,0.023,467,97
138,0,980,4.3,3.0,24943,16562,6657,4842,92,0.419,2033,434
138,1,175,3.9,3.0,25928,21968,7184,5009,36,0.587,3324,1018
138,2,320,5.2,3.0,24964,16529,7271,5232,60,1.034,3469,821
138,3,270,3.7,2.0,19057,11537,5030,3878,45,0.609,3181,677
138,4,215,4.1,3.0,31824,27279,7498,6315,40,0.730,5821,1041
139,0,88005,2.9,2.0,21809,15804,5243,3796,6001,0.059,1101,267
139,1,11150,2.7,2.0,16377,10895,4804,3476,1138,0.119,1112,270
139,2,8410,2.9,2.0,11816,8766,3556,2732,1073,0.171,780,158
139,3,11860,3.5,2.0,12121,8509,3543,2535,1276,0.163,699,191
139,4,56585,2.8,2.0,26984,21280,6024,4513,5652,0.076,1628,413
140,0,709490,2.2,2.0,13740,11645,3783,3311,17210,0.019,228,52
140,1,116250,2.4,2.0,15182,13488,4494,4120,7384,0.018,680,159
140,2,162200,2.3,2.0,10926,9974,3496,3207,7075,0.075,198,56
140,3,210900,2.2,2.0,11747,10502,3115,2808,9845,0.018,204,56
140,4,220140,2.1,2.0,17333,14611,4317,3661,9730,0.017,550,116
141,0,14490,2.7,2.0,19923,13738,5345,3776,544,0.123,901,269
141,1,2160,2.1,2.0,16423,13693,4985,3944,236,0.122,1438,496
141,2,2775,2.8,2.0,15022,10619,4533,3477,189,0.394,1760,358
141,3,4115,2.8,2.0,16683,11314,4369,3122,242,0.220,1149,237
141,4,5440,2.8,2.0,27514,19985,6900,4840,382,0.192,2039,704
142,0,58120,7.6,5.0,92357,59747,22974,15672,1389,0.107,2408,434
142,1,9600,8.6,6.0,85578,55844,21097,14557,479,0.242,4397,680
142,2,10500,7.9,6.0,66438,45787,19812,13761,488,0.229,2087,611
142,3,20025,8.3,6.0,73655,50521,18894,13081,720,0.178,1941,473
142,4,17995,6.2,4.0,135326,101297,31018,23230,971,0.175,6046,1064
143,0,1090,3.5,3.0,47852,36596,12582,10553,89,0.213,2664,515
143,1,240,3.8,3.0,47201,38072,12679,11544,50,0.560,6388,1120
143,2,265,4.0,3.0,38013,35644,11366,9755,41,0.435,2859,737
143,3,325,3.6,3.0,47301,34786,11660,8806,46,0.371,4516,1019
143,4,260,2.4,2.0,61079,44994,15313,13047,40,0.313,6993,1073
144,0,19145,4.4,3.0,73127,49020,18455,12815,857,0.112,2235,442
144,1,3885,4.1,3.0,69672,44963,15861,11334,345,0.196,5364,794
144,2,3415,4.3,3.0,62659,43222,18552,12855,261,0.205,3217,892
144,3,7910,4.6,3.0,74888,51079,18606,13192,628,0.192,3686,692
144,4,3935,4.2,3.0,81932,54599,20680,13611,390,0.278,5500,1279
145,0,40830,3.7,3.0,59273,41704,14872,11109,995,0.056,1361,256
145,1,7510,3.6,2.0,51267,34865,12714,9665,383,0.128,2684,431
145,2,8090,3.6,3.0,47316,36137,13996,11248,320,0.090,1564,362
145,3,16855,4.0,3.0,62121,44479,14861,10905,777,0.104,2388,476
145,4,8375,3.4,2.0,72583,50306,17777,13359,371,0.096,3423,588
146,0,257365,5.5,4.0,63763,49287,16978,13890,3009,0.030,736,145
146,1,47500,5.8,5.0,62560,47761,17103,14033,1325,0.070,1813,267
146,2,60190,5.2,4.0,52799,42946,16478,14001,1344,0.055,911,194
146,3,105880,5.7,5.0,65520,50646,16173,13160,2048,0.049,1281,273
146,4,43795,5.0,4.0,76288,59316,19604,15768,1138,0.080,1853,359
147,0,154370,4.5,3.0,62766,44593,16335,12311,2999,0.050,1140,215
147,1,30080,4.8,3.0,59909,40088,15332,11285,1204,0.116,3054,400
147,2,34135,4.1,3.0,50127,38156,15132,11927,1117,0.070,1248,298
147,3,61295,4.8,3.0,64785,46727,16030,12053,2216,0.089,1819,384
147,4,28860,4.1,3.0,76725,54869,19582,14672,1177,0.113,2968,557
148,0,84325,4.5,3.0,69441,47005,17691,12634,2020,0.071,1546,329
148,1,14445,4.4,3.0,63773,40518,15645,11228,706,0.127,3383,459
148,2,16870,4.5,3.0,58848,42035,17466,13056,745,0.117,1999,478
148,3,34490,4.8,3.0,70626,49023,17352,12476,1530,0.131,2215,550
148,4,18520,4.0,2.0,81707,54115,20259,14167,830,0.155,4629,916
149,0,1970,3.7,2.0,62326,49140,16294,14034,114,0.210,2863,579
149,1,345,3.1,2.0,52091,43093,13314,11841,53,0.350,5695,1033
149,2,320,4.0,2.0,46338,36621,15126,12716,44,0.601,4337,1469
149,3,610,4.1,2.0,60035,45569,15043,11847,62,0.438,5147,981
149,4,695,3.5,2.0,78540,64897,19924,18291,67,0.309,5532,1079
150,0,2760,3.2,3.0,57980,42430,15038,12143,222,0.170,3251,821
150,1,400,3.0,2.0,42577,25578,13736,8841,61,0.488,9390,3803
150,2,445,3.2,2.0,34985,28956,10383,8411,55,0.592,2703,811
150,3,655,3.3,2.0,40080,31637,11577,8727,69,0.283,3207,963
150,4,1260,3.3,3.0,81512,73269,19103,17349,195,0.223,5263,898
151,0,2225,4.0,3.0,51415,37297,12909,10370,113,0.208,2507,509
151,1,330,5.0,4.0,52189,37359,13075,11738,42,0.783,6816,1153
151,2,505,4.0,3.0,41886,31834,12338,9950,53,0.321,3547,983
151,3,800,4.4,3.0,46154,32605,11581,8840,66,0.382,4024,853
151,4,590,2.8,2.0,66873,54303,15226,12622,61,0.251,5312,1025
152,0,723086,2.9,3.0,57578,49527,16292,14516,14960,0.017,645,132
152,1,126475,3.1,3.0,53121,44682,15885,13986,7768,0.042,1733,437
152,2,199075,2.8,3.0,49103,43789,16177,14324,6749,0.028,823,209
152,3,268206,3.0,3.0,60404,52781,15635,14109,9366,0.030,1013,190
152,4,129330,2.7,3.0,69894,60478,18401,16361,5495,0.028,2036,314
153,0,505170,3.5,3.0,61673,52649,17223,15299,10705,0.025,694,157
